,Concentration,Date,lnSSC_predicted,SSC_predicted,ln_Concentration,Value
685,,1985-11-16,,,,1730.0
686,,1985-11-17,,,,1720.0
687,,1985-11-18,,,,1520.0
688,,1985-11-19,,,,1510.0
689,,1985-11-20,,,,1320.0
690,,1985-11-21,,,,1200.0
691,,1985-11-22,,,,1100.0
692,,1985-11-23,,,,1010.0
693,,1985-11-24,,,,960.0
694,,1985-11-25,,,,920.0
695,,1985-11-26,,,,880.0
696,3.0,1985-11-27,3.2057937750000014,84.14158027500028,1.0986122886681098,860.0
697,,1985-11-28,,,,840.0
698,,1985-11-29,,,,820.0
699,,1985-11-30,,,,810.0
700,,1985-12-01,,,,805.0
701,,1985-12-02,,,,820.0
702,,1985-12-03,,,,840.0
703,,1985-12-04,,,,890.0
704,,1985-12-05,,,,990.0
705,,1985-12-06,,,,1150.0
706,,1985-12-07,,,,1120.0
707,,1985-12-08,,,,1290.0
708,,1985-12-09,,,,1350.0
709,,1985-12-10,,,,1290.0
710,,1985-12-11,,,,1270.0
711,,1985-12-12,,,,1240.0
712,,1985-12-13,,,,1310.0
713,,1985-12-14,,,,1320.0
714,,1985-12-15,,,,1220.0
715,,1985-12-16,,,,1210.0
716,,1985-12-17,,,,1220.0
717,,1985-12-18,,,,1210.0
718,,1985-12-19,,,,1180.0
719,,1985-12-20,,,,1160.0
720,,1985-12-21,,,,1200.0
721,,1985-12-22,,,,1200.0
722,,1985-12-23,,,,1210.0
723,,1985-12-24,,,,1220.0
724,,1985-12-25,,,,1130.0
725,,1985-12-26,,,,1180.0
726,,1985-12-27,,,,1180.0
727,,1985-12-28,,,,1060.0
728,,1985-12-29,,,,1080.0
729,,1985-12-30,,,,1110.0
730,,1985-12-31,,,,1110.0
731,,1986-01-01,,,,1140.0
732,,1986-01-02,,,,1080.0
733,,1986-01-03,,,,1090.0
734,,1986-01-04,,,,1030.0
735,,1986-01-05,,,,947.0
736,,1986-01-06,,,,1060.0
737,,1986-01-07,,,,971.0
738,,1986-01-08,,,,1040.0
739,,1986-01-09,,,,1210.0
740,,1986-01-10,,,,1240.0
741,,1986-01-11,,,,1450.0
742,,1986-01-12,,,,1380.0
743,,1986-01-13,,,,1320.0
744,,1986-01-14,,,,1190.0
745,,1986-01-15,,,,1300.0
746,,1986-01-16,,,,1210.0
747,,1986-01-17,,,,1330.0
748,,1986-01-18,,,,1830.0
749,,1986-01-19,,,,3030.0
